sure_payoff,probability1,probability2,lottery_high,lottery_low
32,50,50,60,0
31.2,50,50,60,0
30.4,50,50,60,0
30,50,50,60,0
29.6,50,50,60,0
28.8,50,50,60,0
28,50,50,60,0
27.2,50,50,60,0
26.4,50,50,60,0
25.6,50,50,60,0
