sure_payoff,probability1,probability2,lottery_high,lottery_low
8,2,98,120,0
6,2,98,120,0
4.8,2,98,120,0
4,2,98,120,0
3.2,2,98,120,0
2.8,2,98,120,0
2.4,2,98,120,0
2,2,98,120,0
1.2,2,98,120,0
0.4,2,98,120,0
