sure_payoff,probability1,probability2,lottery_high,lottery_low
60,50,50,240,0
76,50,50,240,0
92,50,50,240,0
100,50,50,240,0
108,50,50,240,0
116,50,50,240,0
120,50,50,240,0
124,50,50,240,0
132,50,50,240,0
140,50,50,240,0
